0.0001
Training starts..
Train Epoch: 1 [5760/68175 (8%)] | Loss: 4.243809 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.1875 | Time:12.2453 | Total_Time:447.0508
Train Epoch: 1 [5920/68175 (9%)] | Loss: 3.849321 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.25 | Time:12.2023 | Total_Time:459.318
Train Epoch: 1 [6080/68175 (9%)] | Loss: 3.567875 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.3125 | Time:12.1839 | Total_Time:471.5674
Train Epoch: 1 [6240/68175 (9%)] | Loss: 3.929087 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.1875 | Time:12.234 | Total_Time:483.8325
Train Epoch: 1 [6400/68175 (9%)] | Loss: 3.981319 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.3125 | Time:12.311 | Total_Time:496.1236
Train Epoch: 1 [6560/68175 (10%)] | Loss: 4.122266 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.1875 | Time:12.2839 | Total_Time:508.4004
Train Epoch: 1 [6720/68175 (10%)] | Loss: 3.720885 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.1875 | Time:12.2583 | Total_Time:520.6614
Train Epoch: 1 [6880/68175 (10%)] | Loss: 3.094350 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5625 | Time:12.2282 | Total_Time:532.93
Train Epoch: 1 [7040/68175 (10%)] | Loss: 3.498908 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.4375 | Time:12.2377 | Total_Time:545.1842
Train Epoch: 1 [7200/68175 (11%)] | Loss: 3.473950 | Top1_Accuracy_V:0.0 | Top5_Accuracy_V:0.5 | Time:12.2433 | Total_Time:557.4484
Train Epoch: 1 [7360/68175 (11%)] | Loss: 3.245111 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.375 | Time:12.2926 | Total_Time:569.7237
Train Epoch: 1 [7520/68175 (11%)] | Loss: 3.711617 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.3125 | Time:12.3279 | Total_Time:582.0012
Train Epoch: 1 [7680/68175 (11%)] | Loss: 3.575272 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.3125 | Time:12.2874 | Total_Time:594.2614
Train Epoch: 1 [7840/68175 (11%)] | Loss: 3.823011 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.1875 | Time:12.2889 | Total_Time:606.5232
Train Epoch: 1 [8000/68175 (12%)] | Loss: 3.174066 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.5625 | Time:12.2837 | Total_Time:618.7789
Train Epoch: 1 [8160/68175 (12%)] | Loss: 4.165620 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.125 | Time:12.2293 | Total_Time:631.0487
Train Epoch: 1 [8320/68175 (12%)] | Loss: 3.646105 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.4375 | Time:12.2439 | Total_Time:643.3015
Train Epoch: 1 [8480/68175 (12%)] | Loss: 3.314274 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.4375 | Time:12.2093 | Total_Time:655.5564
Train Epoch: 1 [8640/68175 (13%)] | Loss: 3.335191 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.625 | Time:12.2899 | Total_Time:667.8258
Train Epoch: 1 [8800/68175 (13%)] | Loss: 3.899703 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.25 | Time:12.2715 | Total_Time:680.0928
Train Epoch: 1 [8960/68175 (13%)] | Loss: 3.628460 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.4375 | Time:12.2624 | Total_Time:692.3792
Train Epoch: 1 [9120/68175 (13%)] | Loss: 3.291188 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.5625 | Time:12.2155 | Total_Time:704.6702
Train Epoch: 1 [9280/68175 (14%)] | Loss: 3.090571 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5 | Time:12.3085 | Total_Time:716.9496
Train Epoch: 1 [9440/68175 (14%)] | Loss: 2.983497 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.625 | Time:12.3434 | Total_Time:729.2267
Train Epoch: 1 [9600/68175 (14%)] | Loss: 3.531141 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.375 | Time:12.2856 | Total_Time:741.5005
Train Epoch: 1 [9760/68175 (14%)] | Loss: 3.225845 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5625 | Time:12.2773 | Total_Time:753.7708
Train Epoch: 1 [9920/68175 (15%)] | Loss: 3.283050 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.4375 | Time:12.2372 | Total_Time:766.0379
Train Epoch: 1 [10080/68175 (15%)] | Loss: 2.661858 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.5625 | Time:12.2434 | Total_Time:778.3071
Train Epoch: 1 [10240/68175 (15%)] | Loss: 3.097631 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.4375 | Time:12.2471 | Total_Time:790.5749
Train Epoch: 1 [10400/68175 (15%)] | Loss: 3.334436 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.5 | Time:12.2834 | Total_Time:802.8427
Train Epoch: 1 [10560/68175 (15%)] | Loss: 3.202022 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.4375 | Time:12.3308 | Total_Time:815.1196
Train Epoch: 1 [10720/68175 (16%)] | Loss: 2.907852 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.6875 | Time:12.2416 | Total_Time:827.404
Train Epoch: 1 [10880/68175 (16%)] | Loss: 2.781208 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.5 | Time:12.2562 | Total_Time:839.6832
Train Epoch: 1 [11040/68175 (16%)] | Loss: 3.218952 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.625 | Time:12.221 | Total_Time:851.9724
Train Epoch: 1 [11200/68175 (16%)] | Loss: 2.658659 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.625 | Time:12.2311 | Total_Time:864.2643
Train Epoch: 1 [11360/68175 (17%)] | Loss: 3.703798 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.4375 | Time:12.2662 | Total_Time:876.5432
Train Epoch: 1 [11520/68175 (17%)] | Loss: 3.336430 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.4375 | Time:12.2939 | Total_Time:888.8342
Train Epoch: 1 [11680/68175 (17%)] | Loss: 3.262770 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.4375 | Time:12.3094 | Total_Time:901.1333
Train Epoch: 1 [11840/68175 (17%)] | Loss: 2.862199 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5625 | Time:12.2863 | Total_Time:913.4178
Train Epoch: 1 [12000/68175 (18%)] | Loss: 3.215845 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.4375 | Time:12.2528 | Total_Time:925.696
Train Epoch: 1 [12160/68175 (18%)] | Loss: 3.312461 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.4375 | Time:12.3723 | Total_Time:937.9997
Train Epoch: 1 [12320/68175 (18%)] | Loss: 3.288964 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.375 | Time:12.3867 | Total_Time:950.298
Train Epoch: 1 [12480/68175 (18%)] | Loss: 3.123425 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.4375 | Time:12.3292 | Total_Time:962.5664
Train Epoch: 1 [12640/68175 (19%)] | Loss: 3.236262 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.5625 | Time:12.2295 | Total_Time:974.8484
Train Epoch: 1 [12800/68175 (19%)] | Loss: 3.011129 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5625 | Time:12.2871 | Total_Time:987.1597
Train Epoch: 1 [12960/68175 (19%)] | Loss: 3.036381 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.5 | Time:12.2485 | Total_Time:999.4637
Train Epoch: 1 [13120/68175 (19%)] | Loss: 3.453562 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.1875 | Time:12.2571 | Total_Time:1011.7652
Train Epoch: 1 [13280/68175 (19%)] | Loss: 2.799809 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.5 | Time:12.3578 | Total_Time:1024.0589
Train Epoch: 1 [13440/68175 (20%)] | Loss: 3.544162 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.5 | Time:12.2594 | Total_Time:1036.3491
Train Epoch: 1 [13600/68175 (20%)] | Loss: 3.064710 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.6875 | Time:12.2676 | Total_Time:1048.623
Train Epoch: 1 [13760/68175 (20%)] | Loss: 2.432070 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.875 | Time:12.3446 | Total_Time:1060.9105
Train Epoch: 1 [13920/68175 (20%)] | Loss: 2.538768 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.8125 | Time:12.3354 | Total_Time:1073.196
Train Epoch: 1 [14080/68175 (21%)] | Loss: 2.614007 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5625 | Time:12.2786 | Total_Time:1085.5029
Train Epoch: 1 [14240/68175 (21%)] | Loss: 3.294736 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.5 | Time:12.2943 | Total_Time:1097.8263
Train Epoch: 1 [14400/68175 (21%)] | Loss: 2.499415 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.875 | Time:12.2578 | Total_Time:1110.1169
Train Epoch: 1 [14560/68175 (21%)] | Loss: 2.982398 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.75 | Time:12.3096 | Total_Time:1122.4124
Train Epoch: 1 [14720/68175 (22%)] | Loss: 3.030286 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.625 | Time:12.3111 | Total_Time:1134.7079
Train Epoch: 1 [14880/68175 (22%)] | Loss: 2.430046 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.6875 | Time:12.2808 | Total_Time:1147.0098
Train Epoch: 1 [15040/68175 (22%)] | Loss: 2.422357 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.6875 | Time:12.2136 | Total_Time:1159.2938
Train Epoch: 1 [15200/68175 (22%)] | Loss: 3.878537 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.375 | Time:12.2615 | Total_Time:1171.5773
Train Epoch: 1 [15360/68175 (23%)] | Loss: 2.653109 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.625 | Time:12.3674 | Total_Time:1183.8642
Train Epoch: 1 [15520/68175 (23%)] | Loss: 3.184836 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.4375 | Time:12.2583 | Total_Time:1196.14
Train Epoch: 1 [15680/68175 (23%)] | Loss: 2.149698 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.8125 | Time:12.2725 | Total_Time:1208.4355
Train Epoch: 1 [15840/68175 (23%)] | Loss: 2.668813 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.6875 | Time:12.2746 | Total_Time:1220.7419
Train Epoch: 1 [16000/68175 (23%)] | Loss: 2.701316 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.6875 | Time:12.2551 | Total_Time:1233.0201
Train Epoch: 1 [16160/68175 (24%)] | Loss: 3.379241 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.375 | Time:12.2531 | Total_Time:1245.305
Train Epoch: 1 [16320/68175 (24%)] | Loss: 3.031734 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.5 | Time:12.2533 | Total_Time:1257.5924
Train Epoch: 1 [16480/68175 (24%)] | Loss: 3.218155 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.5625 | Time:12.2787 | Total_Time:1269.8814
Train Epoch: 1 [16640/68175 (24%)] | Loss: 3.275375 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.375 | Time:12.3409 | Total_Time:1282.1901
Train Epoch: 1 [16800/68175 (25%)] | Loss: 2.987845 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.625 | Time:12.2968 | Total_Time:1294.4797
Train Epoch: 1 [16960/68175 (25%)] | Loss: 3.535824 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.375 | Time:12.3991 | Total_Time:1306.7768
