Training starts..
/home/menglei/anaconda3/lib/python3.6/site-packages/torch/nn/functional.py:1890: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
Train Epoch: 1 [8550/75750 (11%)] | Loss: 60.4884 | CE_V: 42.0863 | CE_T: 4.4760 | RE_V: 5.7424 | RE_T: 2.7809 | AE: 5.4028 | Top1_Accuracy_V:0.3 | Top5_Accuracy_V:0.74 | Top1_Accuracy_T:0.2 | Top5_Accuracy_T:0.44 | Time:17.9413 | Total_Time:309.5954
Train Epoch: 1 [9050/75750 (12%)] | Loss: 59.5390 | CE_V: 41.0077 | CE_T: 4.4411 | RE_V: 6.2678 | RE_T: 2.7240 | AE: 5.0985 | Top1_Accuracy_V:0.4 | Top5_Accuracy_V:0.76 | Top1_Accuracy_T:0.28 | Top5_Accuracy_T:0.46 | Time:17.8286 | Total_Time:327.4429
Train Epoch: 1 [9550/75750 (13%)] | Loss: 59.3618 | CE_V: 42.0066 | CE_T: 4.4310 | RE_V: 5.4629 | RE_T: 2.4490 | AE: 5.0122 | Top1_Accuracy_V:0.4 | Top5_Accuracy_V:0.78 | Top1_Accuracy_T:0.26 | Top5_Accuracy_T:0.6 | Time:17.8254 | Total_Time:345.2511
Train Epoch: 1 [10050/75750 (13%)] | Loss: 53.4438 | CE_V: 35.1410 | CE_T: 4.3630 | RE_V: 6.0087 | RE_T: 2.6604 | AE: 5.2707 | Top1_Accuracy_V:0.56 | Top5_Accuracy_V:0.84 | Top1_Accuracy_T:0.52 | Top5_Accuracy_T:0.68 | Time:17.8796 | Total_Time:363.107
Train Epoch: 1 [10550/75750 (14%)] | Loss: 54.9079 | CE_V: 36.5873 | CE_T: 4.3777 | RE_V: 5.7890 | RE_T: 2.2440 | AE: 5.9098 | Top1_Accuracy_V:0.42 | Top5_Accuracy_V:0.76 | Top1_Accuracy_T:0.36 | Top5_Accuracy_T:0.68 | Time:17.8813 | Total_Time:380.9623
Train Epoch: 1 [11050/75750 (15%)] | Loss: 58.1816 | CE_V: 39.5836 | CE_T: 4.3737 | RE_V: 6.2300 | RE_T: 2.2578 | AE: 5.7366 | Top1_Accuracy_V:0.44 | Top5_Accuracy_V:0.7 | Top1_Accuracy_T:0.38 | Top5_Accuracy_T:0.62 | Time:18.4221 | Total_Time:398.9081
Train Epoch: 1 [11550/75750 (15%)] | Loss: 57.6986 | CE_V: 39.5951 | CE_T: 4.2832 | RE_V: 5.9077 | RE_T: 2.4242 | AE: 5.4884 | Top1_Accuracy_V:0.38 | Top5_Accuracy_V:0.7 | Top1_Accuracy_T:0.42 | Top5_Accuracy_T:0.66 | Time:17.926 | Total_Time:416.8278
Train Epoch: 1 [12050/75750 (16%)] | Loss: 53.6229 | CE_V: 35.2591 | CE_T: 4.2907 | RE_V: 6.6623 | RE_T: 2.0613 | AE: 5.3494 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.8 | Top1_Accuracy_T:0.44 | Top5_Accuracy_T:0.56 | Time:17.9404 | Total_Time:434.7252
Train Epoch: 1 [12550/75750 (17%)] | Loss: 55.3685 | CE_V: 37.0734 | CE_T: 4.3469 | RE_V: 6.1431 | RE_T: 2.0196 | AE: 5.7855 | Top1_Accuracy_V:0.4 | Top5_Accuracy_V:0.72 | Top1_Accuracy_T:0.32 | Top5_Accuracy_T:0.58 | Time:17.8374 | Total_Time:452.6887
Train Epoch: 1 [13050/75750 (17%)] | Loss: 54.0818 | CE_V: 36.0130 | CE_T: 4.2341 | RE_V: 6.0959 | RE_T: 2.0340 | AE: 5.7048 | Top1_Accuracy_V:0.48 | Top5_Accuracy_V:0.72 | Top1_Accuracy_T:0.48 | Top5_Accuracy_T:0.64 | Time:17.7804 | Total_Time:470.5701
